DATE,POPULATION,G,I_DWF,E,DWF_REPORTED,FFT,PE_REPORTED,PE_FORECAST
27.01.2021,1762, 17.2 ,1.7," 1,427.2 "," 374,095.30 "," 187,047.65 "," 1,494 "," 2,940 "
28.01.2021,1762, 118.2 ,1.7," 1,190.3 "," 286,397.40 "," 143,198.70 "," 1,476 "," 1,879 "
29.01.2021,1762, 61.4 ,0.2," 1,501.7 "," 287,332.70 "," 143,666.35 "," 1,521 "," 2,130 "
30.01.2021,1762, 40.8 ,2.5," 1,642.1 "," 410,103.20 "," 205,051.60 "," 1,554 "," 2,073 "
31.01.2021,1762, 48.9 ,2.0," 1,699.5 "," 264,966.30 "," 132,483.15 "," 1,403 "," 2,082 "
01.02.2021,1762, 74.9 ,1.0," 1,247.2 "," 584,062.00 "," 292,031.00 "," 1,588 "," 3,520 "
02.02.2021,1762, 12.7 ,1.1," 1,387.1 "," 378,695.60 "," 189,347.80 "," 1,575 "," 1,859 "
03.02.2021,1762, 21.3 ,0.0," 1,533.6 "," 447,418.20 "," 223,709.10 "," 1,682 "," 2,251 "
04.02.2021,1762, 197.1 ,0.3," 1,383.9 "," 546,260.40 "," 273,130.20 "," 1,433 "," 2,684 "
05.02.2021,1762, 42.4 ,1.3," 1,564.6 "," 274,415.70 "," 137,207.85 "," 1,687 "," 3,422 "
06.02.2021,1762, 152.2 ,2.9," 1,502.2 "," 456,606.50 "," 228,303.25 "," 1,424 "," 3,135 "
07.02.2021,1762, 66.5 ,0.2," 1,882.2 "," 304,221.40 "," 152,110.70 "," 1,475 "," 1,966 "
08.02.2021,1762, 139.9 ,1.2," 1,469.5 "," 355,896.50 "," 177,948.25 "," 1,634 "," 2,391 "
09.02.2021,1762, 103.9 ,1.2," 1,155.8 "," 403,119.80 "," 201,559.90 "," 1,573 "," 1,934 "
10.02.2021,1762, 173.3 ,1.8," 1,286.6 "," 801,026.00 "," 400,513.00 "," 1,553 "," 3,450 "
11.02.2021,1762, 195.5 ,2.2," 1,983.5 "," 480,800.70 "," 240,400.35 "," 1,692 "," 3,201 "
12.02.2021,1762, 143.0 ,1.3," 1,025.2 "," 465,374.50 "," 232,687.25 "," 1,679 "," 2,031 "
13.02.2021,1762, 162.6 ,1.8," 1,277.3 "," 499,170.30 "," 249,585.15 "," 1,422 "," 2,994 "
14.02.2021,1762, 132.8 ,1.3," 1,987.4 "," 336,657.30 "," 168,328.65 "," 1,412 "," 3,373 "
15.02.2021,1762, 152.7 ,1.0," 1,857.2 "," 576,869.60 "," 288,434.80 "," 1,429 "," 2,448 "
16.02.2021,1762, 186.9 ,1.1," 1,411.0 "," 511,313.90 "," 255,656.95 "," 1,581 "," 3,191 "
17.02.2021,1762, 66.3 ,2.3," 1,574.3 "," 186,682.20 "," 93,341.10 "," 1,467 "," 3,217 "
18.02.2021,1762, 149.3 ,3.0," 1,597.3 "," 541,980.90 "," 270,990.45 "," 1,495 "," 2,247 "
19.02.2021,1762, 41.3 ,1.1," 1,898.8 "," 307,835.50 "," 153,917.75 "," 1,512 "," 3,350 "
20.02.2021,1762, 79.1 ,1.1," 1,940.2 "," 604,496.50 "," 302,248.25 "," 1,589 "," 3,450 "
21.02.2021,1762, 92.8 ,1.7," 1,322.4 "," 626,649.70 "," 313,324.85 "," 1,542 "," 1,825 "
22.02.2021,1762, 23.3 ,2.0," 1,398.4 "," 409,652.00 "," 204,826.00 "," 1,516 "," 3,240 "
23.02.2021,1762, 131.2 ,2.8," 1,399.9 "," 444,279.10 "," 222,139.55 "," 1,648 "," 2,956 "
24.02.2021,1762, 196.0 ,0.9," 1,081.9 "," 409,526.80 "," 204,763.40 "," 1,417 "," 2,441 "
25.02.2021,1762, 185.0 ,0.2," 1,774.5 "," 731,720.70 "," 365,860.35 "," 1,449 "," 2,405 "
26.02.2021,1762, 73.7 ,1.8," 1,937.5 "," 515,033.70 "," 257,516.85 "," 1,643 "," 1,935 "
27.02.2021,1762, 97.1 ,0.7," 1,486.8 "," 552,182.70 "," 276,091.35 "," 1,619 "," 1,841 "
28.02.2021,1762, 96.3 ,0.7," 1,170.8 "," 552,618.10 "," 276,309.05 "," 1,586 "," 2,569 "
01.03.2021,1762, 158.4 ,1.9," 1,875.7 "," 701,091.40 "," 350,545.70 "," 1,447 "," 3,177 "
02.03.2021,1762, 85.4 ,0.7," 1,273.0 "," 648,675.50 "," 324,337.75 "," 1,447 "," 2,143 "
03.03.2021,1762, 155.6 ,0.6," 1,368.0 "," 575,327.80 "," 287,663.90 "," 1,414 "," 2,056 "
04.03.2021,1762, 92.3 ,1.0," 1,089.0 "," 584,335.60 "," 292,167.80 "," 1,664 "," 2,061 "
05.03.2021,1762, 51.1 ,1.4," 1,990.2 "," 180,777.80 "," 90,388.90 "," 1,685 "," 2,905 "
06.03.2021,1762, 127.4 ,1.7," 1,665.4 "," 321,380.90 "," 160,690.45 "," 1,529 "," 3,369 "
07.03.2021,1762, 76.8 ,0.2," 1,730.7 "," 592,357.50 "," 296,178.75 "," 1,484 "," 2,714 "
08.03.2021,1762, 47.6 ,0.5," 1,717.8 "," 188,532.50 "," 94,266.25 "," 1,513 "," 2,901 "
09.03.2021,1762, 147.1 ,2.7," 1,686.4 "," 700,166.30 "," 350,083.15 "," 1,587 "," 2,733 "
10.03.2021,1762, 109.8 ,1.0," 1,179.4 "," 660,038.00 "," 330,019.00 "," 1,449 "," 1,896 "
11.03.2021,1762, 105.6 ,1.0," 1,937.2 "," 277,932.40 "," 138,966.20 "," 1,415 "," 2,337 "
12.03.2021,1762, 174.1 ,1.5," 1,931.2 "," 388,978.90 "," 194,489.45 "," 1,557 "," 3,001 "
13.03.2021,1762, 198.0 ,1.4," 1,668.8 "," 581,232.20 "," 290,616.10 "," 1,532 "," 2,406 "
14.03.2021,1762, 80.4 ,2.4," 1,213.6 "," 360,421.80 "," 180,210.90 "," 1,444 "," 3,493 "
15.03.2021,1762, 40.0 ,0.5," 1,022.8 "," 158,971.30 "," 79,485.65 "," 1,609 "," 2,963 "
16.03.2021,1762, 145.9 ,0.3," 1,110.1 "," 492,201.20 "," 246,100.60 "," 1,530 "," 2,745 "
17.03.2021,1762, 121.1 ,2.5," 1,488.9 "," 470,425.60 "," 235,212.80 "," 1,439 "," 2,526 "
18.03.2021,1762, 108.8 ,0.9," 1,765.4 "," 272,554.90 "," 136,277.45 "," 1,607 "," 3,024 "
19.03.2021,1762, 36.6 ,0.7," 1,917.3 "," 189,843.20 "," 94,921.60 "," 1,532 "," 2,587 "
20.03.2021,1762, 170.3 ,2.3," 1,428.6 "," 433,668.50 "," 216,834.25 "," 1,618 "," 3,366 "
21.03.2021,1762, 51.0 ,0.6," 1,407.4 "," 557,895.00 "," 278,947.50 "," 1,682 "," 2,247 "
22.03.2021,1762, 164.4 ,0.6," 1,289.4 "," 639,589.80 "," 319,794.90 "," 1,540 "," 3,367 "
23.03.2021,1762, 114.5 ,0.6," 1,031.7 "," 460,123.30 "," 230,061.65 "," 1,591 "," 3,175 "
24.03.2021,1762, 111.4 ,0.3," 1,736.4 "," 462,413.50 "," 231,206.75 "," 1,568 "," 1,917 "
25.03.2021,1762, 119.9 ,1.3," 1,846.8 "," 528,967.90 "," 264,483.95 "," 1,485 "," 1,760 "
26.03.2021,1762, 129.1 ,0.0," 1,014.5 "," 340,855.70 "," 170,427.85 "," 1,688 "," 1,887 "
27.03.2021,1762, 116.2 ,1.4," 1,702.7 "," 342,997.50 "," 171,498.75 "," 1,586 "," 3,542 "
28.03.2021,1762, 54.4 ,1.2," 1,699.6 "," 386,705.60 "," 193,352.80 "," 1,535 "," 2,154 "
29.03.2021,1762, 123.6 ,1.6," 1,446.7 "," 300,720.50 "," 150,360.25 "," 1,505 "," 3,000 "
30.03.2021,1762, 50.5 ,1.3," 1,980.6 "," 456,369.90 "," 228,184.95 "," 1,401 "," 2,836 "
31.03.2021,1762, 113.7 ,1.1," 1,247.2 "," 393,471.70 "," 196,735.85 "," 1,651 "," 1,860 "
01.04.2021,1762, 64.2 ,1.0," 1,626.2 "," 313,948.60 "," 156,974.30 "," 1,436 "," 2,449 "
02.04.2021,1762, 19.8 ,2.0," 1,443.9 "," 244,142.50 "," 122,071.25 "," 1,503 "," 2,321 "
03.04.2021,1762, 36.0 ,1.1," 1,209.9 "," 528,350.00 "," 264,175.00 "," 1,422 "," 1,947 "
04.04.2021,1762, 26.9 ,1.7," 1,369.6 "," 357,868.10 "," 178,934.05 "," 1,695 "," 3,472 "
05.04.2021,1762, 48.9 ,0.3," 1,522.2 "," 409,991.30 "," 204,995.65 "," 1,668 "," 2,282 "
06.04.2021,1762, 27.3 ,2.9," 1,219.0 "," 418,087.50 "," 209,043.75 "," 1,401 "," 2,088 "
07.04.2021,1762, 131.1 ,1.4," 1,277.1 "," 437,841.70 "," 218,920.85 "," 1,641 "," 2,996 "
08.04.2021,1762, 159.1 ,0.0," 1,154.6 "," 705,569.80 "," 352,784.90 "," 1,591 "," 2,372 "
09.04.2021,1762, 40.5 ,3.0," 1,423.5 "," 501,976.50 "," 250,988.25 "," 1,668 "," 2,011 "
10.04.2021,1762, 166.8 ,0.9," 1,529.6 "," 409,831.10 "," 204,915.55 "," 1,428 "," 3,007 "
11.04.2021,1762, 13.7 ,1.9," 1,152.4 "," 420,194.70 "," 210,097.35 "," 1,557 "," 2,120 "
12.04.2021,1762, 131.2 ,1.3," 1,157.3 "," 563,289.00 "," 281,644.50 "," 1,693 "," 3,525 "
13.04.2021,1762, 162.0 ,2.5," 1,121.0 "," 764,833.50 "," 382,416.75 "," 1,612 "," 3,218 "
14.04.2021,1762, 189.7 ,2.1," 1,667.4 "," 800,890.90 "," 400,445.45 "," 1,524 "," 2,614 "
15.04.2021,1762, 56.7 ,0.6," 1,352.8 "," 514,081.80 "," 257,040.90 "," 1,444 "," 3,075 "
16.04.2021,1762, 45.1 ,1.0," 1,815.9 "," 416,773.10 "," 208,386.55 "," 1,456 "," 2,233 "
17.04.2021,1762, 166.0 ,0.5," 1,702.6 "," 674,045.10 "," 337,022.55 "," 1,621 "," 3,164 "
18.04.2021,1762, 138.9 ,1.1," 1,035.6 "," 394,189.50 "," 197,094.75 "," 1,674 "," 3,054 "
19.04.2021,1762, 141.4 ,1.3," 1,303.6 "," 424,202.70 "," 212,101.35 "," 1,497 "," 2,432 "
20.04.2021,1762, 151.6 ,0.5," 1,814.7 "," 390,221.40 "," 195,110.70 "," 1,520 "," 3,098 "
21.04.2021,1762, 104.2 ,2.0," 1,140.0 "," 240,641.40 "," 120,320.70 "," 1,649 "," 2,601 "
22.04.2021,1762, 156.8 ,2.3," 1,796.1 "," 400,175.00 "," 200,087.50 "," 1,510 "," 2,279 "
23.04.2021,1762, 56.5 ,0.2," 1,715.4 "," 443,696.60 "," 221,848.30 "," 1,512 "," 3,408 "
24.04.2021,1762, 52.5 ,0.1," 1,824.5 "," 538,504.60 "," 269,252.30 "," 1,572 "," 1,853 "
25.04.2021,1762, 150.4 ,1.1," 1,551.9 "," 683,736.80 "," 341,868.40 "," 1,630 "," 3,331 "
26.04.2021,1762, 65.1 ,0.2," 1,046.6 "," 213,754.00 "," 106,877.00 "," 1,658 "," 1,798 "
27.04.2021,1762, 79.9 ,1.9," 1,369.8 "," 592,256.50 "," 296,128.25 "," 1,414 "," 3,005 "
28.04.2021,1762, 103.8 ,1.5," 1,561.0 "," 247,013.10 "," 123,506.55 "," 1,531 "," 3,452 "
29.04.2021,1762, 74.0 ,0.5," 1,103.5 "," 418,165.00 "," 209,082.50 "," 1,663 "," 1,804 "
30.04.2021,1762, 141.6 ,0.9," 1,751.6 "," 680,295.70 "," 340,147.85 "," 1,553 "," 1,920 "
01.05.2021,1762, 125.6 ,2.5," 1,961.5 "," 638,537.20 "," 319,268.60 "," 1,477 "," 2,782 "
02.05.2021,1762, 197.4 ,0.7," 1,274.7 "," 747,664.20 "," 373,832.10 "," 1,412 "," 2,474 "
03.05.2021,1762, 93.4 ,2.4," 1,861.3 "," 510,169.50 "," 255,084.75 "," 1,405 "," 1,759 "
04.05.2021,1762, 38.2 ,0.9," 1,640.2 "," 426,982.50 "," 213,491.25 "," 1,590 "," 2,178 "
05.05.2021,1762, 57.0 ,1.3," 1,061.5 "," 592,661.80 "," 296,330.90 "," 1,435 "," 1,762 "
06.05.2021,1762, 115.5 ,2.7," 1,062.9 "," 612,320.60 "," 306,160.30 "," 1,438 "," 2,834 "
07.05.2021,1762, 119.9 ,1.2," 1,501.1 "," 391,829.10 "," 195,914.55 "," 1,529 "," 3,293 "
08.05.2021,1762, 95.9 ,0.2," 1,232.4 "," 528,929.40 "," 264,464.70 "," 1,576 "," 2,298 "
09.05.2021,1762, 100.5 ,2.9," 1,794.6 "," 251,262.50 "," 125,631.25 "," 1,641 "," 3,102 "
10.05.2021,1762, 62.8 ,1.3," 1,657.7 "," 472,247.60 "," 236,123.80 "," 1,420 "," 2,239 "
11.05.2021,1762, 99.4 ,1.6," 1,717.4 "," 312,053.80 "," 156,026.90 "," 1,612 "," 2,761 "
12.05.2021,1762, 145.7 ,0.4," 1,341.7 "," 627,857.50 "," 313,928.75 "," 1,634 "," 1,988 "
13.05.2021,1762, 86.7 ,1.1," 1,857.2 "," 629,770.70 "," 314,885.35 "," 1,498 "," 2,631 "
14.05.2021,1762, 162.5 ,2.2," 1,977.2 "," 423,241.40 "," 211,620.70 "," 1,442 "," 3,262 "
15.05.2021,1762, 72.3 ,1.7," 1,370.1 "," 503,318.40 "," 251,659.20 "," 1,412 "," 3,213 "
16.05.2021,1762, 58.7 ,1.2," 1,544.2 "," 413,484.80 "," 206,742.40 "," 1,529 "," 3,293 "
17.05.2021,1762, 55.2 ,0.2," 1,374.1 "," 205,482.70 "," 102,741.35 "," 1,689 "," 3,100 "
18.05.2021,1762, 80.3 ,2.7," 1,429.2 "," 341,259.50 "," 170,629.75 "," 1,499 "," 3,087 "
19.05.2021,1762, 66.4 ,1.5," 1,071.1 "," 573,782.40 "," 286,891.20 "," 1,424 "," 2,822 "
20.05.2021,1762, 101.3 ,2.6," 1,935.8 "," 357,452.00 "," 178,726.00 "," 1,485 "," 2,715 "
21.05.2021,1762, 60.6 ,0.7," 1,288.5 "," 510,820.40 "," 255,410.20 "," 1,676 "," 2,722 "
22.05.2021,1762, 134.5 ,2.1," 1,140.0 "," 350,356.10 "," 175,178.05 "," 1,679 "," 2,619 "
23.05.2021,1762, 148.7 ,0.5," 1,536.5 "," 652,269.40 "," 326,134.70 "," 1,463 "," 2,285 "
24.05.2021,1762, 88.3 ,0.9," 1,357.6 "," 505,843.10 "," 252,921.55 "," 1,557 "," 3,311 "
25.05.2021,1762, 109.3 ,0.8," 1,130.0 "," 441,203.40 "," 220,601.70 "," 1,473 "," 3,414 "
26.05.2021,1762, 164.6 ,2.2," 1,725.5 "," 443,710.90 "," 221,855.45 "," 1,417 "," 2,776 "
27.05.2021,1762, 193.1 ,2.3," 1,998.6 "," 615,412.10 "," 307,706.05 "," 1,528 "," 1,855 "
28.05.2021,1762, 189.5 ,1.9," 1,616.5 "," 613,834.40 "," 306,917.20 "," 1,690 "," 2,911 "
29.05.2021,1762, 68.0 ,1.4," 1,938.1 "," 336,372.50 "," 168,186.25 "," 1,662 "," 2,103 "
30.05.2021,1762, 107.4 ,2.5," 1,378.6 "," 555,200.90 "," 277,600.45 "," 1,484 "," 2,345 "
31.05.2021,1762, 109.7 ,2.5," 1,282.6 "," 545,925.50 "," 272,962.75 "," 1,629 "," 3,378 "
01.06.2021,1762, 13.8 ,0.3," 1,150.8 "," 398,147.70 "," 199,073.85 "," 1,407 "," 1,908 "
02.06.2021,1762, 173.8 ,0.2," 1,568.1 "," 534,040.90 "," 267,020.45 "," 1,604 "," 3,145 "
03.06.2021,1762, 102.8 ,2.4," 1,638.8 "," 436,126.80 "," 218,063.40 "," 1,559 "," 2,438 "
04.06.2021,1762, 39.2 ,2.9," 1,216.1 "," 567,576.40 "," 283,788.20 "," 1,509 "," 2,264 "
05.06.2021,1762, 189.3 ,1.6," 1,993.1 "," 402,423.30 "," 201,211.65 "," 1,477 "," 3,299 "
06.06.2021,1762, 104.1 ,2.1," 1,177.1 "," 281,098.40 "," 140,549.20 "," 1,555 "," 2,858 "
07.06.2021,1762, 75.7 ,1.8," 1,595.4 "," 296,457.60 "," 148,228.80 "," 1,575 "," 2,073 "
08.06.2021,1762, 42.8 ,0.3," 1,195.3 "," 509,968.20 "," 254,984.10 "," 1,562 "," 3,208 "
09.06.2021,1762, 195.1 ,1.8," 1,962.6 "," 492,638.60 "," 246,319.30 "," 1,462 "," 3,264 "
10.06.2021,1762, 163.2 ,0.4," 1,512.2 "," 421,741.00 "," 210,870.50 "," 1,590 "," 2,544 "
11.06.2021,1762, 155.6 ,0.6," 1,021.6 "," 600,256.40 "," 300,128.20 "," 1,454 "," 2,336 "
12.06.2021,1762, 58.3 ,2.6," 1,277.0 "," 258,064.20 "," 129,032.10 "," 1,556 "," 2,634 "
13.06.2021,1762, 19.0 ,1.6," 1,411.9 "," 331,450.50 "," 165,725.25 "," 1,554 "," 2,619 "
14.06.2021,1762, 110.0 ,1.8," 1,466.6 "," 668,083.40 "," 334,041.70 "," 1,602 "," 2,652 "
15.06.2021,1762, 184.1 ,0.0," 1,014.8 "," 534,242.00 "," 267,121.00 "," 1,409 "," 2,463 "
16.06.2021,1762, 98.0 ,2.9," 1,816.9 "," 657,298.80 "," 328,649.40 "," 1,588 "," 2,704 "
17.06.2021,1762, 187.5 ,0.3," 1,688.6 "," 765,145.90 "," 382,572.95 "," 1,509 "," 3,383 "
18.06.2021,1762, 144.8 ,0.4," 1,594.3 "," 346,692.30 "," 173,346.15 "," 1,478 "," 3,005 "
19.06.2021,1762, 173.1 ,0.1," 1,995.2 "," 410,986.50 "," 205,493.25 "," 1,700 "," 3,387 "
20.06.2021,1762, 166.6 ,0.7," 1,383.9 "," 490,129.80 "," 245,064.90 "," 1,584 "," 1,992 "
21.06.2021,1762, 117.8 ,1.7," 1,167.3 "," 322,974.60 "," 161,487.30 "," 1,667 "," 3,249 "
22.06.2021,1762, 164.9 ,1.5," 1,388.3 "," 389,947.60 "," 194,973.80 "," 1,633 "," 2,834 "
23.06.2021,1762, 124.4 ,1.0," 1,525.8 "," 494,672.60 "," 247,336.30 "," 1,451 "," 2,988 "
24.06.2021,1762, 130.1 ,0.4," 1,217.4 "," 555,468.00 "," 277,734.00 "," 1,542 "," 3,200 "
25.06.2021,1762, 31.4 ,0.6," 1,822.5 "," 530,475.90 "," 265,237.95 "," 1,533 "," 2,672 "
26.06.2021,1762, 127.1 ,1.5," 1,291.2 "," 492,965.90 "," 246,482.95 "," 1,530 "," 2,134 "
27.06.2021,1762, 50.4 ,1.1," 1,116.9 "," 266,026.80 "," 133,013.40 "," 1,479 "," 3,282 "
28.06.2021,1762, 68.5 ,0.9," 1,344.9 "," 521,447.80 "," 260,723.90 "," 1,525 "," 3,254 "
29.06.2021,1762, 93.1 ,1.5," 1,964.0 "," 269,788.70 "," 134,894.35 "," 1,446 "," 3,106 "
30.06.2021,1762, 148.4 ,0.9," 1,260.1 "," 539,824.80 "," 269,912.40 "," 1,680 "," 2,069 "
01.07.2021,1762, 59.3 ,2.4," 1,368.2 "," 435,961.20 "," 217,980.60 "," 1,453 "," 1,779 "
02.07.2021,1762, 114.7 ,0.9," 1,575.2 "," 528,623.50 "," 264,311.75 "," 1,591 "," 3,072 "
03.07.2021,1762, 75.2 ,2.3," 1,122.4 "," 501,969.10 "," 250,984.55 "," 1,648 "," 3,304 "
04.07.2021,1762, 101.7 ,2.7," 1,860.5 "," 608,707.60 "," 304,353.80 "," 1,408 "," 2,691 "
05.07.2021,1762, 191.1 ,1.3," 1,703.7 "," 633,216.20 "," 316,608.10 "," 1,514 "," 1,795 "
06.07.2021,1762, 193.3 ,1.1," 1,198.6 "," 821,713.30 "," 410,856.65 "," 1,664 "," 1,820 "
07.07.2021,1762, 39.7 ,2.7," 1,851.4 "," 304,412.50 "," 152,206.25 "," 1,448 "," 2,063 "
08.07.2021,1762, 97.6 ,0.7," 1,579.1 "," 409,712.00 "," 204,856.00 "," 1,489 "," 3,149 "
09.07.2021,1762, 118.1 ,0.1," 1,106.1 "," 279,938.40 "," 139,969.20 "," 1,585 "," 2,379 "
10.07.2021,1762, 95.8 ,2.5," 1,938.5 "," 474,595.60 "," 237,297.80 "," 1,405 "," 1,998 "
11.07.2021,1762, 188.1 ,3.0," 1,396.7 "," 531,663.90 "," 265,831.95 "," 1,548 "," 3,453 "
12.07.2021,1762, 70.1 ,1.8," 1,142.7 "," 429,125.70 "," 214,562.85 "," 1,422 "," 3,366 "
13.07.2021,1762, 112.4 ,0.6," 1,872.5 "," 527,096.90 "," 263,548.45 "," 1,549 "," 2,630 "
14.07.2021,1762, 111.4 ,2.4," 1,781.2 "," 533,650.40 "," 266,825.20 "," 1,463 "," 2,528 "
15.07.2021,1762, 121.2 ,2.2," 1,306.8 "," 488,607.40 "," 244,303.70 "," 1,679 "," 2,200 "
16.07.2021,1762, 114.0 ,2.0," 1,456.3 "," 549,240.30 "," 274,620.15 "," 1,502 "," 2,321 "
17.07.2021,1762, 54.3 ,1.0," 1,601.6 "," 349,298.20 "," 174,649.10 "," 1,467 "," 2,110 "
18.07.2021,1762, 160.7 ,1.3," 1,940.2 "," 616,241.90 "," 308,120.95 "," 1,653 "," 3,496 "
19.07.2021,1762, 146.1 ,1.1," 1,511.5 "," 360,469.80 "," 180,234.90 "," 1,558 "," 2,742 "
20.07.2021,1762, 187.6 ,0.0," 1,478.0 "," 399,727.20 "," 199,863.60 "," 1,511 "," 3,504 "
21.07.2021,1762, 79.9 ,0.3," 1,312.3 "," 633,222.40 "," 316,611.20 "," 1,531 "," 2,700 "
22.07.2021,1762, 136.8 ,2.2," 1,440.8 "," 354,157.60 "," 177,078.80 "," 1,483 "," 2,013 "
23.07.2021,1762, 136.7 ,2.7," 1,452.8 "," 688,441.90 "," 344,220.95 "," 1,491 "," 2,776 "
24.07.2021,1762, 86.2 ,1.6," 1,491.6 "," 277,654.60 "," 138,827.30 "," 1,580 "," 2,438 "
25.07.2021,1762, 119.3 ,0.2," 1,521.8 "," 553,204.60 "," 276,602.30 "," 1,627 "," 3,325 "
26.07.2021,1762, 152.7 ,1.7," 1,574.2 "," 675,819.30 "," 337,909.65 "," 1,498 "," 2,356 "
27.07.2021,1762, 55.0 ,2.3," 1,524.0 "," 239,148.30 "," 119,574.15 "," 1,403 "," 3,379 "
28.07.2021,1762, 59.3 ,2.8," 1,119.4 "," 241,684.80 "," 120,842.40 "," 1,586 "," 1,794 "
29.07.2021,1762, 50.2 ,1.4," 1,713.5 "," 178,418.30 "," 89,209.15 "," 1,586 "," 2,263 "
30.07.2021,1762, 73.4 ,1.7," 1,686.6 "," 331,992.10 "," 165,996.05 "," 1,632 "," 2,245 "
31.07.2021,1762, 33.5 ,2.7," 1,720.7 "," 272,238.40 "," 136,119.20 "," 1,519 "," 2,225 "
01.08.2021,1762, 89.0 ,0.0," 1,926.1 "," 221,350.10 "," 110,675.05 "," 1,440 "," 3,532 "
02.08.2021,1762, 79.5 ,2.4," 1,634.9 "," 530,713.30 "," 265,356.65 "," 1,555 "," 2,910 "
03.08.2021,1762, 119.2 ,1.5," 1,288.1 "," 407,979.00 "," 203,989.50 "," 1,406 "," 2,754 "
04.08.2021,1762, 134.1 ,2.7," 1,138.8 "," 723,899.70 "," 361,949.85 "," 1,452 "," 2,552 "
05.08.2021,1762, 91.4 ,2.4," 1,151.3 "," 455,973.50 "," 227,986.75 "," 1,570 "," 3,491 "
06.08.2021,1762, 166.9 ,1.6," 1,409.5 "," 755,314.90 "," 377,657.45 "," 1,627 "," 2,175 "
07.08.2021,1762, 91.5 ,2.1," 1,463.4 "," 440,175.50 "," 220,087.75 "," 1,534 "," 2,446 "
08.08.2021,1762, 173.1 ,0.1," 1,793.7 "," 567,437.00 "," 283,718.50 "," 1,541 "," 2,152 "
09.08.2021,1762, 74.6 ,0.3," 1,972.9 "," 246,824.40 "," 123,412.20 "," 1,593 "," 2,668 "
10.08.2021,1762, 144.3 ,1.5," 1,063.6 "," 547,282.70 "," 273,641.35 "," 1,663 "," 2,875 "
11.08.2021,1762, 83.2 ,3.0," 1,292.5 "," 478,958.90 "," 239,479.45 "," 1,656 "," 3,045 "
12.08.2021,1762, 13.8 ,0.0," 1,777.3 "," 274,757.90 "," 137,378.95 "," 1,522 "," 2,277 "
