DATE,MAX_IR (l/s),I_DWF (l/s),I_DWF_MAX (l/s),G (2020),E,TDV (l),PE (forecasted 2021),PE (unrounded 2020),PE (forcasted 2020)
21.02.2021, 4.9 ,0.2,4.60, 135.2 ," 1,778.7 ",724.85," 1,558 "," 1,662 "," 1,553 "
22.02.2021, 7.0 ,0.6,1.40, 24.6 ," 1,425.1 ",691.02," 1,558 "," 1,662 "," 1,553 "
23.02.2021, 0.2 ,2.7,1.10, 178.3 ," 1,870.2 ",669.25," 1,558 "," 1,662 "," 1,553 "
24.02.2021, 2.8 ,0.9,6.20, 20.3 ," 1,674.2 ",651.30," 1,558 "," 1,662 "," 1,553 "
25.02.2021, 4.6 ,1.5,2.30, 97.9 ," 1,660.1 ",628.52," 1,558 "," 1,662 "," 1,553 "
26.02.2021, 2.9 ,0.4,3.60, 113.8 ," 1,685.1 ",603.20," 1,558 "," 1,662 "," 1,553 "
27.02.2021, 3.9 ,2.6,0.80, 56.0 ," 1,600.8 ",620.61," 1,558 "," 1,662 "," 1,553 "
28.02.2021, 0.7 ,0.1,8.90, 52.5 ," 1,591.1 ",614.03," 1,558 "," 1,662 "," 1,553 "
01.03.2021, 4.6 ,2.0,5.90, 85.6 ," 1,766.2 ",583.31," 1,558 "," 1,662 "," 1,553 "
02.03.2021, 3.4 ,0.4,4.40, 32.7 ," 1,407.1 ",580.54," 1,558 "," 1,662 "," 1,553 "
03.03.2021, 8.9 ,1.1,8.70, 27.2 ," 1,682.1 ",564.41," 1,558 "," 1,662 "," 1,553 "
04.03.2021, 3.4 ,1.5,0.40, 147.5 ," 1,065.1 ",585.04," 1,558 "," 1,662 "," 1,553 "
05.03.2021, 2.4 ,1.0,9.60, 63.1 ," 1,960.1 ",555.22," 1,558 "," 1,662 "," 1,553 "
06.03.2021, 1.1 ,1.0,6.60, 132.3 ," 1,595.2 ",561.29," 1,558 "," 1,662 "," 1,553 "
07.03.2021, 0.1 ,0.0,5.60, 191.0 ," 1,864.6 ",559.57," 1,558 "," 1,662 "," 1,553 "
08.03.2021, 0.6 ,1.8,2.80, 10.4 ," 1,239.2 ",529.96," 1,558 "," 1,662 "," 1,553 "
09.03.2021, 5.4 ,2.8,9.70, 173.9 ," 1,225.4 ",547.04," 1,558 "," 1,662 "," 1,553 "
10.03.2021, 2.9 ,2.8,6.20, 63.7 ," 1,708.8 ",557.55," 1,558 "," 1,662 "," 1,553 "
11.03.2021, 5.9 ,2.7,2.60, 59.7 ," 1,450.0 ",586.48," 1,558 "," 1,662 "," 1,553 "
12.03.2021, 8.3 ,2.5,1.00, 44.4 ," 1,668.2 ",527.75," 1,558 "," 1,662 "," 1,553 "
13.03.2021, 8.6 ,1.8,3.10, 22.8 ," 1,822.5 ",583.49," 1,558 "," 1,662 "," 1,553 "
14.03.2021, 5.1 ,0.5,9.80, 142.4 ," 1,579.9 ",526.49," 1,558 "," 1,662 "," 1,553 "
15.03.2021, 5.3 ,0.9,0.90, 81.9 ," 1,681.0 ",486.56," 1,558 "," 1,662 "," 1,553 "
16.03.2021, 9.3 ,0.7,2.80, 189.1 ," 1,313.3 ",467.64," 1,558 "," 1,662 "," 1,553 "
17.03.2021, 2.1 ,0.0,0.50, 54.9 ," 1,121.1 ",449.85," 1,558 "," 1,662 "," 1,553 "
18.03.2021, 1.5 ,2.0,1.00, 19.9 ," 1,249.3 ",450.16," 1,558 "," 1,662 "," 1,553 "
19.03.2021, 1.8 ,2.7,0.60, 143.5 ," 1,980.5 ",442.85," 1,558 "," 1,662 "," 1,553 "
20.03.2021, 7.8 ,0.0,7.70, 198.1 ," 1,591.1 ",454.16," 1,558 "," 1,662 "," 1,553 "
21.03.2021, 3.3 ,1.6,7.10, 74.5 ," 1,045.7 ",463.80," 1,558 "," 1,662 "," 1,553 "
22.03.2021, 5.2 ,0.6,6.00, 166.5 ," 1,651.7 ",436.66," 1,558 "," 1,662 "," 1,553 "
23.03.2021, 10.0 ,0.7,1.00, 30.8 ," 1,701.2 ",431.30," 1,558 "," 1,662 "," 1,553 "
24.03.2021, 9.4 ,3.0,7.30, 171.3 ," 1,619.5 ",418.28," 1,558 "," 1,662 "," 1,553 "
25.03.2021, 2.5 ,2.7,8.70, 75.4 ," 1,372.6 ",427.73," 1,558 "," 1,662 "," 1,553 "
26.03.2021, 9.0 ,2.1,9.10, 42.8 ," 1,499.1 ",481.37," 1,558 "," 1,662 "," 1,553 "
27.03.2021, 5.2 ,2.3,6.50, 75.4 ," 1,858.8 ",446.46," 1,558 "," 1,662 "," 1,553 "
28.03.2021, 6.5 ,1.6,2.30, 132.1 ," 1,755.6 ",449.55," 1,558 "," 1,662 "," 1,553 "
29.03.2021, 9.0 ,1.1,6.30, 187.5 ," 1,388.9 ",422.16," 1,558 "," 1,662 "," 1,553 "
30.03.2021, 1.2 ,0.8,0.80, 177.0 ," 1,763.8 ",390.78," 1,558 "," 1,662 "," 1,553 "
31.03.2021, 7.1 ,0.4,7.40, 153.5 ," 1,826.7 ",403.66," 1,558 "," 1,662 "," 1,553 "
01.04.2021, 3.2 ,2.9,1.20, 136.7 ," 1,203.8 ",408.00," 1,558 "," 1,662 "," 1,553 "
02.04.2021, 0.6 ,2.8,9.80, 144.0 ," 1,547.6 ",411.63," 1,558 "," 1,662 "," 1,553 "
03.04.2021, 5.2 ,1.4,2.20, 23.1 ," 1,132.3 ",407.01," 1,558 "," 1,662 "," 1,553 "
04.04.2021, 9.1 ,2.3,9.50, 192.4 ," 1,694.5 ",414.38," 1,558 "," 1,662 "," 1,553 "
05.04.2021, 6.8 ,2.2,3.10, 78.0 ," 1,615.5 ",397.90," 1,558 "," 1,662 "," 1,553 "
06.04.2021, 4.4 ,1.7,9.50, 172.2 ," 1,451.9 ",392.81," 1,558 "," 1,662 "," 1,553 "
07.04.2021, 1.8 ,0.5,1.90, 33.2 ," 1,610.9 ",372.75," 1,558 "," 1,662 "," 1,553 "
08.04.2021, 7.0 ,1.9,8.40, 176.8 ," 1,896.3 ",390.59," 1,558 "," 1,662 "," 1,553 "
09.04.2021, 8.6 ,2.7,0.60, 97.1 ," 1,000.7 ",398.72," 1,558 "," 1,662 "," 1,553 "
10.04.2021, 0.4 ,2.2,4.90, 122.8 ," 1,464.7 ",395.18," 1,558 "," 1,662 "," 1,553 "
11.04.2021, 5.9 ,2.6,7.40, 90.7 ," 1,569.5 ",397.43," 1,558 "," 1,662 "," 1,553 "
12.04.2021, 9.8 ,1.6,0.40, 50.0 ," 1,300.5 ",381.08," 1,558 "," 1,662 "," 1,553 "
13.04.2021, 8.1 ,0.2,5.70, 30.9 ," 1,798.9 ",373.48," 1,558 "," 1,662 "," 1,553 "
14.04.2021, 6.1 ,1.9,3.40, 68.0 ," 1,392.5 ",363.40," 1,558 "," 1,662 "," 1,553 "
15.04.2021, 8.6 ,0.1,6.70, 165.5 ," 1,447.8 ",358.67," 1,558 "," 1,662 "," 1,553 "
16.04.2021, 0.5 ,1.1,4.50, 101.4 ," 1,955.3 ",350.75," 1,558 "," 1,662 "," 1,553 "
17.04.2021, 4.9 ,0.5,5.40, 90.3 ," 1,677.3 ",355.16," 1,558 "," 1,662 "," 1,553 "
18.04.2021, 5.2 ,2.1,6.70, 142.3 ," 1,576.7 ",374.03," 1,558 "," 1,662 "," 1,553 "
19.04.2021, 4.3 ,2.7,6.40, 117.4 ," 1,730.9 ",330.32," 1,558 "," 1,662 "," 1,553 "
20.04.2021, 8.6 ,1.8,5.10, 30.8 ," 1,829.2 ",347.77," 1,558 "," 1,662 "," 1,553 "
21.04.2021, 4.4 ,0.3,3.70, 150.8 ," 1,757.9 ",331.22," 1,558 "," 1,662 "," 1,553 "
22.04.2021, 8.7 ,1.0,1.50, 143.4 ," 1,397.8 ",323.03," 1,558 "," 1,662 "," 1,553 "
23.04.2021, 7.0 ,1.1,2.20, 12.8 ," 1,921.1 ",337.90," 1,558 "," 1,662 "," 1,553 "
24.04.2021, 2.8 ,2.4,8.90, 69.6 ," 1,464.5 ",332.98," 1,558 "," 1,662 "," 1,553 "
25.04.2021, 2.4 ,1.5,3.20, 134.1 ," 1,593.1 ",356.20," 1,558 "," 1,662 "," 1,553 "
26.04.2021, 4.0 ,2.0,5.60, 126.1 ," 1,845.2 ",330.24," 1,558 "," 1,662 "," 1,553 "
27.04.2021, 1.4 ,1.0,7.80, 22.2 ," 1,128.8 ",346.58," 1,558 "," 1,662 "," 1,553 "
28.04.2021, 9.8 ,0.8,5.40, 18.1 ," 1,165.1 ",430.13," 1,558 "," 1,662 "," 1,553 "
29.04.2021, 3.3 ,0.9,0.90, 69.7 ," 1,083.2 ",328.50," 1,558 "," 1,662 "," 1,553 "
30.04.2021, 5.5 ,1.1,9.20, 15.4 ," 1,411.7 ",319.51," 1,558 "," 1,662 "," 1,553 "
01.05.2021, 3.9 ,1.1,8.50, 45.4 ," 1,644.6 ",325.13," 1,558 "," 1,662 "," 1,553 "
02.05.2021, 6.1 ,2.2,3.00, 133.6 ," 1,159.6 ",322.43," 1,558 "," 1,662 "," 1,553 "
03.05.2021, 6.2 ,0.3,1.60, 113.4 ," 1,368.3 ",453.89," 1,558 "," 1,662 "," 1,553 "
04.05.2021, 3.8 ,2.0,10.00, 61.7 ," 1,149.9 ",394.64," 1,558 "," 1,662 "," 1,553 "
05.05.2021, 7.1 ,1.5,3.10, 191.5 ," 1,122.2 ",396.85," 1,558 "," 1,662 "," 1,553 "
06.05.2021, 5.3 ,0.9,9.60, 42.7 ," 1,512.8 ",258.35," 1,558 "," 1,662 "," 1,553 "
07.05.2021, 3.2 ,2.7,2.60, 76.3 ," 1,379.0 ",330.65," 1,558 "," 1,662 "," 1,553 "
08.05.2021, 3.8 ,2.5,8.40, 97.3 ," 1,631.9 ",687.35," 1,558 "," 1,662 "," 1,553 "
09.05.2021, 4.4 ,2.6,6.70, 165.0 ," 1,152.8 ",431.53," 1,558 "," 1,662 "," 1,553 "
10.05.2021, 8.9 ,2.3,9.80, 94.6 ," 1,803.1 ",366.84," 1,558 "," 1,662 "," 1,553 "
11.05.2021, 6.1 ,1.6,3.60, 57.9 ," 1,005.9 ",359.62," 1,558 "," 1,662 "," 1,553 "
12.05.2021, 5.3 ,2.0,1.50, 183.3 ," 1,378.7 ",328.29," 1,558 "," 1,662 "," 1,553 "
13.05.2021, 8.0 ,0.9,3.80, 113.6 ," 1,373.8 ",714.76," 1,558 "," 1,662 "," 1,553 "
14.05.2021, 0.7 ,0.9,7.90, 35.6 ," 1,289.2 ","1,040.19"," 1,558 "," 1,662 "," 1,553 "
15.05.2021, 9.9 ,2.4,9.50, 187.1 ," 1,460.4 ",734.95," 1,558 "," 1,662 "," 1,553 "
16.05.2021, 4.8 ,1.6,7.40, 139.0 ," 1,321.3 ",779.48," 1,558 "," 1,662 "," 1,553 "
17.05.2021, 7.6 ,0.3,8.30, 13.0 ," 1,147.4 ",587.09," 1,558 "," 1,662 "," 1,553 "
18.05.2021, 3.7 ,1.4,6.70, 132.6 ," 1,341.6 ",635.63," 1,558 "," 1,662 "," 1,553 "
19.05.2021, 8.1 ,1.2,7.80, 35.1 ," 1,093.4 ",670.99," 1,558 "," 1,662 "," 1,553 "
20.05.2021, 9.5 ,0.4,7.20, 114.4 ," 1,081.9 ",566.28," 1,558 "," 1,662 "," 1,553 "
21.05.2021, 7.5 ,0.8,8.70, 95.1 ," 1,042.3 ",660.39," 1,558 "," 1,662 "," 1,553 "
22.05.2021, 8.6 ,0.0,9.30, 68.6 ," 1,477.1 ",692.19," 1,558 "," 1,662 "," 1,553 "
23.05.2021, 7.3 ,2.8,8.90, 177.9 ," 1,268.3 ",651.95," 1,558 "," 1,662 "," 1,553 "
24.05.2021, 5.1 ,1.4,1.30, 112.3 ," 1,373.2 ",672.74," 1,558 "," 1,662 "," 1,553 "
25.05.2021, 0.9 ,0.0,6.60, 176.3 ," 1,496.0 ",561.72," 1,558 "," 1,662 "," 1,553 "
26.05.2021, 1.0 ,2.6,2.30, 13.3 ," 1,882.5 ",509.05," 1,558 "," 1,662 "," 1,553 "
27.05.2021, 7.4 ,1.3,8.20, 160.4 ," 1,556.6 ",500.35," 1,558 "," 1,662 "," 1,553 "
28.05.2021, 1.8 ,0.5,5.00, 80.5 ," 1,957.7 ",484.42," 1,558 "," 1,662 "," 1,553 "
29.05.2021, 5.7 ,2.9,5.50, 143.6 ," 1,035.4 ",457.06," 1,558 "," 1,662 "," 1,553 "
30.05.2021, 3.2 ,1.1,2.50, 166.8 ," 1,544.2 ",441.90," 1,558 "," 1,662 "," 1,553 "
31.05.2021, 8.3 ,0.1,1.00, 159.6 ," 1,018.3 ",449.05," 1,558 "," 1,662 "," 1,553 "
01.06.2021, 6.9 ,0.5,1.20, 113.1 ," 1,907.0 ",447.25," 1,558 "," 1,662 "," 1,553 "
02.06.2021, 4.3 ,1.3,10.00, 65.0 ," 1,267.1 ",445.53," 1,558 "," 1,662 "," 1,553 "
03.06.2021, 7.0 ,2.8,8.80, 24.4 ," 1,306.2 ",416.88," 1,558 "," 1,662 "," 1,553 "
04.06.2021, 2.9 ,1.8,9.10, 107.8 ," 1,980.7 ",408.11," 1,558 "," 1,662 "," 1,553 "
05.06.2021, 6.8 ,0.9,2.90, 164.4 ," 1,253.8 ",410.49," 1,558 "," 1,662 "," 1,553 "
06.06.2021, 9.7 ,3.0,3.00, 59.7 ," 1,988.2 ",413.88," 1,558 "," 1,662 "," 1,553 "
07.06.2021, 1.6 ,0.6,2.80, 128.5 ," 1,483.7 ",395.52," 1,558 "," 1,662 "," 1,553 "
08.06.2021, 3.8 ,1.5,4.30, 153.1 ," 1,474.5 ",400.86," 1,558 "," 1,662 "," 1,553 "
09.06.2021, 9.3 ,2.4,6.50, 152.3 ," 1,069.9 ",376.62," 1,558 "," 1,662 "," 1,553 "
10.06.2021, 7.4 ,1.8,6.80, 48.5 ," 1,060.7 ",386.58," 1,558 "," 1,662 "," 1,553 "
11.06.2021, 8.3 ,2.2,4.40, 123.2 ," 1,663.1 ",388.66," 1,558 "," 1,662 "," 1,553 "
12.06.2021, 3.3 ,1.3,8.70, 15.2 ," 1,756.8 ",377.05," 1,558 "," 1,662 "," 1,553 "
13.06.2021, 7.5 ,0.4,4.50, 101.3 ," 1,436.3 ",393.59," 1,558 "," 1,662 "," 1,553 "
14.06.2021, 8.7 ,2.7,1.90, 182.2 ," 1,258.1 ",373.80," 1,558 "," 1,662 "," 1,553 "
15.06.2021, 7.7 ,1.1,9.60, 156.7 ," 1,151.6 ",387.07," 1,558 "," 1,662 "," 1,553 "
16.06.2021, 1.6 ,2.2,8.90, 146.0 ," 1,845.6 ",365.46," 1,558 "," 1,662 "," 1,553 "
17.06.2021, 4.9 ,0.6,9.20, 65.1 ," 1,510.1 ",388.51," 1,558 "," 1,662 "," 1,553 "
18.06.2021, 1.2 ,0.6,2.20, 36.8 ," 1,684.8 ",657.00," 1,558 "," 1,662 "," 1,553 "
19.06.2021, 2.2 ,0.4,5.60, 103.2 ," 1,932.0 ",448.13," 1,558 "," 1,662 "," 1,553 "
20.06.2021, 6.2 ,2.5,0.40, 162.3 ," 1,184.8 ",478.66," 1,558 "," 1,662 "," 1,553 "
21.06.2021, 8.7 ,3.0,1.80, 12.1 ," 1,193.7 ",394.60," 1,558 "," 1,662 "," 1,553 "
22.06.2021, 2.7 ,0.8,6.80, 83.0 ," 1,248.8 ",422.31," 1,558 "," 1,662 "," 1,553 "
23.06.2021, 5.3 ,0.4,4.90, 100.6 ," 1,487.9 ",366.48," 1,558 "," 1,662 "," 1,553 "
24.06.2021, 6.3 ,0.1,7.50, 15.4 ," 1,060.5 ",368.25," 1,558 "," 1,662 "," 1,553 "
25.06.2021, 9.4 ,1.2,4.30, 155.8 ," 1,740.2 ",366.10," 1,558 "," 1,662 "," 1,553 "
26.06.2021, 2.6 ,0.5,1.30, 160.1 ," 1,652.2 ",355.30," 1,558 "," 1,662 "," 1,553 "
27.06.2021, 1.4 ,1.0,8.20, 19.0 ," 1,789.9 ",355.86," 1,558 "," 1,662 "," 1,553 "
28.06.2021, 1.7 ,3.0,5.20, 148.2 ," 1,877.2 ",449.51," 1,558 "," 1,662 "," 1,553 "
29.06.2021, 6.3 ,0.1,6.50, 160.5 ," 1,218.8 ",350.06," 1,558 "," 1,662 "," 1,553 "
30.06.2021, 7.7 ,0.5,2.70, 99.2 ," 1,646.8 ",329.29," 1,558 "," 1,662 "," 1,553 "
01.07.2021, 4.2 ,2.6,5.70, 168.7 ," 1,060.4 ",345.19," 1,558 "," 1,662 "," 1,553 "
02.07.2021, 2.8 ,0.5,3.50, 136.8 ," 1,883.7 ",341.53," 1,558 "," 1,662 "," 1,553 "
03.07.2021, 3.2 ,1.1,3.90, 146.7 ," 1,690.2 ",334.85," 1,558 "," 1,662 "," 1,553 "
04.07.2021, 2.4 ,2.9,10.00, 199.5 ," 1,440.4 ",379.95," 1,558 "," 1,662 "," 1,553 "
05.07.2021, 8.1 ,1.1,4.20, 66.3 ," 1,373.9 ",386.15," 1,558 "," 1,662 "," 1,553 "
06.07.2021, 0.2 ,0.1,4.00, 157.3 ," 1,434.4 ",423.36," 1,558 "," 1,662 "," 1,553 "
07.07.2021, 3.9 ,1.4,2.80, 67.1 ," 1,078.7 ",379.99," 1,558 "," 1,662 "," 1,553 "
08.07.2021, 6.5 ,2.2,0.90, 59.8 ," 1,496.4 ",336.16," 1,558 "," 1,662 "," 1,553 "
09.07.2021, 2.5 ,2.9,9.50, 152.1 ," 1,948.6 ",325.08," 1,558 "," 1,662 "," 1,553 "
10.07.2021, 6.7 ,2.2,0.50, 93.0 ," 1,246.8 ",347.88," 1,558 "," 1,662 "," 1,553 "
11.07.2021, 3.6 ,3.0,5.20, 89.2 ," 1,555.9 ",326.73," 1,558 "," 1,662 "," 1,553 "
12.07.2021, 2.1 ,2.7,2.60, 26.4 ," 1,768.8 ",320.84," 1,558 "," 1,662 "," 1,553 "
13.07.2021, 2.0 ,1.1,8.50, 170.9 ," 1,203.2 ",315.04," 1,558 "," 1,662 "," 1,553 "
14.07.2021, 2.3 ,0.8,4.80, 150.7 ," 1,590.8 ",294.35," 1,558 "," 1,662 "," 1,553 "
15.07.2021, 8.3 ,1.2,1.10, 165.1 ," 1,445.7 ",304.23," 1,558 "," 1,662 "," 1,553 "
16.07.2021, 6.2 ,2.0,8.20, 133.1 ," 1,028.6 ",293.23," 1,558 "," 1,662 "," 1,553 "
17.07.2021, 3.7 ,1.9,6.20, 119.8 ," 1,688.7 ",306.04," 1,558 "," 1,662 "," 1,553 "
18.07.2021, 6.8 ,0.4,6.20, 48.1 ," 1,672.2 ",303.27," 1,558 "," 1,662 "," 1,553 "
19.07.2021, 4.7 ,0.4,0.90, 14.5 ," 1,221.7 ",285.63," 1,558 "," 1,662 "," 1,553 "
20.07.2021, 4.7 ,0.9,0.80, 124.5 ," 1,955.7 ",282.39," 1,558 "," 1,662 "," 1,553 "
21.07.2021, 0.8 ,1.8,6.20, 149.0 ," 1,649.0 ",285.83," 1,558 "," 1,662 "," 1,553 "
22.07.2021, 8.3 ,2.2,6.20, 176.9 ," 1,781.3 ",293.81," 1,558 "," 1,662 "," 1,553 "
23.07.2021, 4.5 ,0.6,3.50, 152.8 ," 1,073.6 ",286.86," 1,558 "," 1,662 "," 1,553 "
24.07.2021, 0.6 ,2.1,0.20, 34.0 ," 1,316.3 ",262.11," 1,558 "," 1,662 "," 1,553 "
25.07.2021, 8.6 ,0.4,6.20, 167.2 ," 1,956.7 ",271.96," 1,558 "," 1,662 "," 1,553 "
26.07.2021, 2.6 ,1.7,5.80, 103.6 ," 1,557.2 ",260.01," 1,558 "," 1,662 "," 1,553 "
27.07.2021, 3.7 ,2.1,3.80, 66.7 ," 1,837.3 ",265.00," 1,558 "," 1,662 "," 1,553 "
28.07.2021, 6.5 ,2.8,9.00, 170.5 ," 1,512.6 ",260.17," 1,558 "," 1,662 "," 1,553 "
29.07.2021, 7.9 ,0.9,6.40, 71.5 ," 1,288.8 ",286.42," 1,558 "," 1,662 "," 1,553 "
30.07.2021, 3.1 ,0.4,7.10, 194.8 ," 1,624.1 ",392.94," 1,558 "," 1,662 "," 1,553 "
31.07.2021, 1.6 ,3.0,8.30, 110.4 ," 1,880.4 ",328.16," 1,558 "," 1,662 "," 1,553 "
01.08.2021, 1.8 ,1.7,6.20, 62.4 ," 1,805.8 ",281.18," 1,558 "," 1,662 "," 1,553 "
02.08.2021, 7.5 ,3.0,3.50, 169.1 ," 1,559.6 ",320.81," 1,558 "," 1,662 "," 1,553 "
03.08.2021, 8.3 ,2.0,4.30, 100.7 ," 1,754.1 ",277.49," 1,558 "," 1,662 "," 1,553 "
04.08.2021, 9.1 ,0.1,6.10, 190.5 ," 1,201.9 ",252.17," 1,558 "," 1,662 "," 1,553 "
05.08.2021, 8.5 ,2.8,4.40, 29.8 ," 1,362.6 ",401.76," 1,558 "," 1,662 "," 1,553 "
06.08.2021, 6.1 ,2.1,1.90, 165.6 ," 1,744.8 ",304.00," 1,558 "," 1,662 "," 1,553 "
07.08.2021, 4.2 ,2.6,9.30, 38.9 ," 1,409.7 ",278.25," 1,558 "," 1,662 "," 1,553 "
